ID;IDtool;src;orig_name;rectified_name;use;norm_in;norm_out;comment;description
0;38;tsfresh;linear_trend_timewise(x, param)     ;;FALSE;;;not a scalar;Calculate a linear least-squares regression for the values of the time series versus the sequence from 0 to length of the time series minus one.
0;41;tsfresh;matrix_profile(x, param)    ;;FALSE;;;not a scalar;Calculates the 1-D Matrix Profile[1] and returns Tukey's Five Number Set plus the mean of that Matrix Profile.
0;42;tsfresh;max_langevin_fixed_point(x, r, m)   ;;FALSE;;;not a scalar;Largest fixed point of dynamics :math:argmax_x {h(x)=0}` estimated from polynomial h(x), which has been fitted to the deterministic dynamics of Langevin model
0;43;tsfresh;maximum(x)  ;;FALSE;;;tsfel;Calculates the highest value of the time series x.
0;44;tsfresh;mean(x)     ;;FALSE;;;tsfel;Returns the mean of x
0;45;tsfresh;mean_abs_change(x)  ;;FALSE;;;tsfel;Average over first differences.
0;46;tsfresh;mean_change(x)  ;;FALSE;;;tsfel;Average over time series differences.
0;47;tsfresh;mean_n_absolute_max(x, number_of_maxima)    ;;FALSE;;;not a scalar;Calculates the arithmetic mean of the n absolute maximum values of the time series.
0;49;tsfresh;median(x)   ;;FALSE;;;tsfel;Returns the median of x
0;50;tsfresh;minimum(x)  ;;FALSE;;;tsfel;Calculates the lowest value of the time series x.
0;51;tsfresh;number_crossing_m(x, m)     ;;FALSE;;;parameter needed;Calculates the number of crossings of x on m.
0;52;tsfresh;number_cwt_peaks(x, n)  ;;FALSE;;;not a scalar;Number of different peaks in x.
0;53;tsfresh;number_peaks(x, n)  ;;FALSE;;;parameter needed;Calculates the number of peaks of at least support n in the time series x.
0;54;tsfresh;partial_autocorrelation(x, param)   ;;FALSE;;;parameter needed;Calculates the value of the partial autocorrelation function at the given lag.
0;55;tsfresh;percentage_of_reoccurring_datapoints_to_all_datapoints(x)   ;;FALSE;;;not reasonable for continuous time series;Returns the percentage of non-unique data points.
0;56;tsfresh;percentage_of_reoccurring_values_to_all_values(x)   ;;FALSE;;;not reasonable for continuous time series;Returns the percentage of values that are present in the time series more than once.
0;57;tsfresh;permutation_entropy(x, tau, dimension)  ;;FALSE;;;parameter needed;Calculate the permutation entropy.
0;58;tsfresh;quantile(x, q)  ;;FALSE;;;parameter needed;Calculates the q quantile of x.
0;59;tsfresh;query_similarity_count(x, param)    ;;FALSE;;;parameter needed;This feature calculator accepts an input query subsequence parameter, compares the query (under z-normalized Euclidean distance) to all subsequences within the time series, and returns a count of the number of times the query was found in the time series (within some predefined maximum distance threshold).
0;60;tsfresh;range_count(x, min, max)    ;;FALSE;;;parameter needed;Count observed values within the interval [min, max).
0;61;tsfresh;ratio_beyond_r_sigma(x, r)  ;;FALSE;;;parameter needed;Ratio of values that are more than r * std(x) (so r times sigma) away from the mean of x.
0;62;tsfresh;ratio_value_number_to_time_series_length(x)     ;;FALSE;;;not reasonable for continuous time series;Returns a factor which is 1 if all values in the time series occur only once, and below one if this is not the case.
0;63;tsfresh;root_mean_square(x)     ;;FALSE;;;tsfel;Returns the root mean square (rms) of the time series.
0;65;tsfresh;set_property(key, value)    ;;FALSE;;;not a parameter;This method returns a decorator that sets the property key of the function to value
0;66;tsfresh;skewness(x)     ;;FALSE;;;tsfel;Returns the sample skewness of x (calculated with the adjusted Fisher-Pearson standardized moment coefficient G1).
0;67;tsfresh;spkt_welch_density(x, param)    ;;FALSE;;;parameter needed;This feature calculator estimates the cross power spectral density of the time series x at different frequencies.
0;68;tsfresh;standard_deviation(x)   ;;FALSE;;;tsfel;Returns the standard deviation of x
0;69;tsfresh;sum_of_reoccurring_data_points(x)   ;;FALSE;;;not reasonable for continuous time series;Returns the sum of all data points, that are present in the time series more than once.
0;70;tsfresh;sum_of_reoccurring_values(x)    ;;FALSE;;;not reasonable for continuous time series;Returns the sum of all values, that are present in the time series more than once.
0;71;tsfresh;sum_values(x)   ;;FALSE;;;scales with mean;Calculates the sum over the time series values
0;72;tsfresh;symmetry_looking(x, param)  ;;FALSE;;;bool, parameter needed;Boolean variable denoting if the distribution of x looks symmetric.
0;73;tsfresh;time_reversal_asymmetry_statistic(x, lag)   ;;FALSE;;;parameter needed;Returns the time reversal asymmetry statistic.
0;74;tsfresh;value_count(x, value)   ;;FALSE;;;parameter needed;Count occurrences of value in time series x.
0;75;tsfresh;variance(x)     ;;FALSE;;;tsfel;Returns the variance of x
0;76;tsfresh;variance_larger_than_standard_deviation(x)  ;;FALSE;;;bool;Is variance higher than the standard deviation?
